VaR,ES,Classes,Loss Mean
14.790729,2.114129,1,24176.27089
15.002695,2.113202,1,24176.27089
14.712092,2.113865,1,24176.27089
14.773654,2.112459,1,24176.27089
14.527667,2.113524,1,24176.27089
14.653222,2.110577,1,24176.27089
14.689538,2.113008,1,24176.27089
14.901177,2.113568,1,24176.27089
14.847479,2.112092,1,24176.27089
14.879174,2.111243,1,24176.27089
14.83431,2.113685,1,24176.27089
14.825036,2.114021,1,24176.27089
14.794092,2.111568,1,24176.27089
14.74064,2.112338,1,24176.27089
14.752649,2.110611,1,24176.27089
14.67304,2.113742,1,24176.27089
14.805777,2.113366,1,24176.27089
14.710568,2.115271,1,24176.27089
14.706172,2.112734,1,24176.27089
14.752104,2.112283,1,24176.27089
14.56274,2.11302,1,24176.27089
14.737937,2.113123,1,24176.27089
14.387714,2.112784,1,24176.27089
14.638629,2.112482,1,24176.27089
14.807916,2.112938,1,24176.27089
14.401175,2.113764,1,24176.27089
14.790472,2.110587,1,24176.27089
14.996424,2.111076,1,24176.27089
14.995582,2.113556,1,24176.27089
14.797261,2.112772,1,24176.27089
14.725922,2.112921,1,24176.27089
14.672149,2.112351,1,24176.27089
14.53072,2.11076,1,24176.27089
14.5532,2.112003,1,24176.27089
14.518395,2.113012,1,24176.27089
14.813235,2.113304,1,24176.27089
14.504384,2.111986,1,24176.27089
14.781238,2.113548,1,24176.27089
14.524067,2.113975,1,24176.27089
14.77679,2.111176,1,24176.27089
14.815661,2.114399,1,24176.27089
14.566026,2.111272,1,24176.27089
15.000143,2.113013,1,24176.27089
14.982393,2.113758,1,24176.27089
14.991161,2.115293,1,24176.27089
14.91953,2.11398,1,24176.27089
14.380974,2.110855,1,24176.27089
14.793093,2.112219,1,24176.27089
15.177262,2.111704,1,24176.27089
14.453752,2.112055,1,24176.27089
14.601687,2.110223,1,24176.27089
14.558828,2.110996,1,24176.27089
14.495699,2.112173,1,24176.27089
14.840675,2.112637,1,24176.27089
14.706415,2.114525,1,24176.27089
14.97761,2.113362,1,24176.27089
14.67859,2.11417,1,24176.27089
14.69136,2.11355,1,24176.27089
14.920847,2.113559,1,24176.27089
14.912436,2.110498,1,24176.27089
14.821838,2.113672,1,24176.27089
15.004654,2.113339,1,24176.27089
14.707844,2.113794,1,24176.27089
14.682369,2.114054,1,24176.27089
14.928991,2.112804,1,24176.27089
14.80763,2.11295,1,24176.27089
14.820783,2.112506,1,24176.27089
14.610882,2.112973,1,24176.27089
14.585923,2.113192,1,24176.27089
14.830521,2.111026,1,24176.27089
14.744974,2.112598,1,24176.27089
14.770909,2.110999,1,24176.27089
14.848801,2.113685,1,24176.27089
14.820067,2.113419,1,24176.27089
14.794114,2.112606,1,24176.27089
14.566618,2.111785,1,24176.27089
14.97445,2.11188,1,24176.27089
14.68887,2.112115,1,24176.27089
14.737204,2.113998,1,24176.27089
14.90498,2.11638,1,24176.27089
14.937731,2.112512,1,24176.27089
15.017415,2.113039,1,24176.27089
14.721017,2.111972,1,24176.27089
14.731589,2.111805,1,24176.27089
14.99883,2.114304,1,24176.27089
14.662159,2.113178,1,24176.27089
14.594239,2.113518,1,24176.27089
14.880258,2.112639,1,24176.27089
14.777591,2.110587,1,24176.27089
14.866081,2.113936,1,24176.27089
14.85089,2.113933,1,24176.27089
14.855489,2.115278,1,24176.27089
14.82535,2.11459,1,24176.27089
14.60764,2.11316,1,24176.27089
14.687205,2.112434,1,24176.27089
14.736782,2.114074,1,24176.27089
14.426852,2.111734,1,24176.27089
14.71778,2.11178,1,24176.27089
14.847858,2.112504,1,24176.27089
14.761374,2.112824,1,24176.27089
14.629823,2.113021,1,24176.27089
14.779531,2.113086,1,24176.27089
14.502557,2.112131,1,24176.27089
14.5921,2.112658,1,24176.27089
14.589532,2.110818,1,24176.27089
14.686835,2.113254,1,24176.27089
15.005626,2.113624,1,24176.27089
14.617654,2.111524,1,24176.27089
14.872964,2.114791,1,24176.27089
14.820164,2.114162,1,24176.27089
14.967846,2.113546,1,24176.27089
14.67511,2.1111,1,24176.27089
14.656709,2.112492,1,24176.27089
14.84276,2.113752,1,24176.27089
14.698025,2.112204,1,24176.27089
14.725757,2.113935,1,24176.27089
14.915189,2.113212,1,24176.27089
14.550126,2.110202,1,24176.27089
14.745094,2.113562,1,24176.27089
14.843547,2.111494,1,24176.27089
15.678815,2.161333,2,24211.81546
15.25959,2.16173,2,24211.81546
15.319657,2.160424,2,24211.81546
15.258228,2.161066,2,24211.81546
15.435612,2.159624,2,24211.81546
15.386124,2.163857,2,24211.81546
15.327872,2.160713,2,24211.81546
15.291531,2.163221,2,24211.81546
15.444305,2.160201,2,24211.81546
15.240993,2.161253,2,24211.81546
15.09859,2.161257,2,24211.81546
15.122765,2.157768,2,24211.81546
15.507684,2.161163,2,24211.81546
15.300154,2.160314,2,24211.81546
15.233059,2.162283,2,24211.81546
15.433157,2.163296,2,24211.81546
15.342773,2.159187,2,24211.81546
15.225639,2.161052,2,24211.81546
15.483353,2.160001,2,24211.81546
15.036377,2.161304,2,24211.81546
15.3158,2.16124,2,24211.81546
15.050465,2.160531,2,24211.81546
15.329305,2.162015,2,24211.81546
15.446953,2.159813,2,24211.81546
15.126444,2.160838,2,24211.81546
15.076008,2.160079,2,24211.81546
15.540027,2.160967,2,24211.81546
15.269345,2.160748,2,24211.81546
15.431663,2.161825,2,24211.81546
15.449395,2.160924,2,24211.81546
15.29555,2.16062,2,24211.81546
15.119786,2.160724,2,24211.81546
15.43757,2.16151,2,24211.81546
15.374477,2.162641,2,24211.81546
15.320205,2.161978,2,24211.81546
15.068219,2.160994,2,24211.81546
15.457927,2.162055,2,24211.81546
15.220389,2.161088,2,24211.81546
15.268627,2.160845,2,24211.81546
15.049791,2.159975,2,24211.81546
15.280716,2.160058,2,24211.81546
15.374099,2.161859,2,24211.81546
15.548868,2.160733,2,24211.81546
15.560303,2.162552,2,24211.81546
15.217017,2.158768,2,24211.81546
15.33933,2.16056,2,24211.81546
15.539938,2.163054,2,24211.81546
15.070691,2.159483,2,24211.81546
15.134484,2.157343,2,24211.81546
15.155048,2.161961,2,24211.81546
15.063695,2.159197,2,24211.81546
15.202395,2.160194,2,24211.81546
15.275959,2.161238,2,24211.81546
15.349411,2.159008,2,24211.81546
15.358135,2.162983,2,24211.81546
15.30326,2.16034,2,24211.81546
15.160976,2.159702,2,24211.81546
15.38401,2.160876,2,24211.81546
